word	pronunciation	meaning	example	unit	note
memorial service	/məˈmɔːriəl ˈsɜːrvɪs/	追悼式、慰霊の儀式	A memorial service was held Sunday.	2026-06-09	news:01-memorial-service-marks-25-years-since-fatal-stabbing-rampage | 日曜日に追悼式が行われた。
stabbing rampage	/ˈstæbɪŋ ˈræmpeɪdʒ/	刺殺の狂乱行為、刃物による大量殺傷	a stabbing rampage at an elementary school	2026-06-09	news:01-memorial-service-marks-25-years-since-fatal-stabbing-rampage | 小学校での刺殺の狂乱行為
bereaved	/bɪˈriːvd/	（親族などを）失った、遺族の	bereaved family members	2026-06-09	news:01-memorial-service-marks-25-years-since-fatal-stabbing-rampage | 遺族
observe a moment of silence	/əbˈzɜːrv ə ˈmoʊmənt əv ˈsaɪləns/	黙祷を捧げる	everyone observed a moment of silence	2026-06-09	news:01-memorial-service-marks-25-years-since-fatal-stabbing-rampage | 全員が黙祷を捧げた
fatally stabbed	/ˈfeɪtəli stæbd/	刺殺されて死亡した	The eight were fatally stabbed.	2026-06-09	news:01-memorial-service-marks-25-years-since-fatal-stabbing-rampage | 8人は刺殺されて死亡した。
sentence to death	/ˈsentəns tə deθ/	死刑を宣告する	He was sentenced to death in 2003.	2026-06-09	news:01-memorial-service-marks-25-years-since-fatal-stabbing-rampage | 彼は2003年に死刑を宣告された。
prompt	/prɒmpt/	～を促す、～につながる	prompting the strengthening of safety measures	2026-06-09	news:01-memorial-service-marks-25-years-since-fatal-stabbing-rampage | 安全対策の強化につながった
myth of safety	/mɪθ əv ˈseɪfti/	安全神話（絶対に安全だという思い込み）	the school's "myth of safety"	2026-06-09	news:01-memorial-service-marks-25-years-since-fatal-stabbing-rampage | 学校の「安全神話」
deteriorate	/dɪˈtɪəriəreɪt/	劣化する、状態が悪くなる	The castles have deteriorated over time.	2026-06-09	news:02-deteriorating-castles-in-japan-face-high-costs-debates-over-renovation | 城は年月とともに劣化してきた。
susceptible to	/səˈseptəbl tuː/	〜の影響を受けやすい	They have become more susceptible to earthquakes.	2026-06-09	news:02-deteriorating-castles-in-japan-face-high-costs-debates-over-renovation | 地震の影響を受けやすくなっている。
keep	/kiːp/	（城の）天守閣	Hiroshima Castle's reconstructed keep closed in March.	2026-06-09	news:02-deteriorating-castles-in-japan-face-high-costs-debates-over-renovation | 広島城の再建天守は3月に閉鎖された。
refurbishment	/rɪˈfɜːbɪʃmənt/	改修、リニューアル	He hoped to tour inside after a refurbishment of the keep.	2026-06-09	news:02-deteriorating-castles-in-japan-face-high-costs-debates-over-renovation | 彼は天守の改修後に中を見学したいと望んだ。
at risk of collapse	/æt rɪsk əv kəˈlæps/	崩壊の危険がある	The survey identified the castle as being at risk of collapse.	2026-06-09	news:02-deteriorating-castles-in-japan-face-high-costs-debates-over-renovation | 調査は城に崩壊の危険があると特定した。
re-create	/ˌriːkriˈeɪt/	（原状に）再現する、再建する	Nagoya plans to re-create the original wooden structure.	2026-06-09	news:02-deteriorating-castles-in-japan-face-high-costs-debates-over-renovation | 名古屋はもともとの木造構造を再現する計画だ。
useful life	/ˈjuːsfəl laɪf/	耐用年数、実用期間	The keeps are reaching the end of their useful life.	2026-06-09	news:02-deteriorating-castles-in-japan-face-high-costs-debates-over-renovation | 天守は耐用年数の末期に差し掛かっている。
intrinsic value	/ɪnˈtrɪnsɪk ˈvæljuː/	本質的価値、内在的価値	Wood reconstruction enhances the intrinsic value of historical landmarks.	2026-06-09	news:02-deteriorating-castles-in-japan-face-high-costs-debates-over-renovation | 木造再建は史跡の本質的価値を高める。
current account surplus	/ˈkʌrənt əˈkaʊnt ˈsɜːrpləs/	経常収支の黒字（対外取引全体の収入が支出を上回る状態）	Japan posted a current account surplus of 3.91 trillion yen in April.	2026-06-09	news:03-japan-s-april-current-account-surplus-at-3-91-tril-on-overseas-returns | 日本は4月、経常収支が3兆9100億円の黒字となった。
year over year	/jɪr ˈoʊvər jɪr/	前年同期比で	Both exports and imports fell over 55 percent year over year.	2026-06-09	news:03-japan-s-april-current-account-surplus-at-3-91-tril-on-overseas-returns | 輸出と輸入はともに前年同期比で55%超の減少となった。
preliminary report	/prɪˈlɪmɪneri rɪˈpɔːrt/	速報・暫定報告（後日修正される可能性がある初回発表）	The Finance Ministry said in a preliminary report.	2026-06-09	news:03-japan-s-april-current-account-surplus-at-3-91-tril-on-overseas-returns | 財務省は速報で発表した。
primary income	/ˈpraɪmeri ˈɪnkʌm/	第一次所得（海外投資の配当・利子などの収益）	Primary income rose 15.3 percent from a year earlier.	2026-06-09	news:03-japan-s-april-current-account-surplus-at-3-91-tril-on-overseas-returns | 第一次所得は前年同期比15.3%増となった。
swing to black	/swɪŋ tu blæk/	黒字に転じる（赤字から黒字になる）	The goods trade balance swung to black with a surplus.	2026-06-09	news:03-japan-s-april-current-account-surplus-at-3-91-tril-on-overseas-returns | 貿易収支は黒字に転じた。
trading house	/ˈtreɪdɪŋ haʊs/	総合商社	Returns on foreign investments by trading houses expanded.	2026-06-09	news:03-japan-s-april-current-account-surplus-at-3-91-tril-on-overseas-returns | 商社による海外投資の収益が拡大した。
gauge	/ɡeɪdʒ/	指標・尺度	The current account balance is one of the widest gauges of international trade.	2026-06-09	news:03-japan-s-april-current-account-surplus-at-3-91-tril-on-overseas-returns | 経常収支は国際貿易を測る最も広い指標の一つだ。
stem from	/stem frəm/	〜に起因する、〜を発端とする	The conflict stemmed from attacks on Iran in late February.	2026-06-09	news:03-japan-s-april-current-account-surplus-at-3-91-tril-on-overseas-returns | 紛争は2月下旬のイラン攻撃を発端としている。
leaked	/liːkt/	（情報が）漏えいした、流出した	Patient data was possibly leaked online.	2026-06-09	news:04-data-on-510-000-people-linked-to-hokkaido-hospitals-possibly-leaked-on | 患者データがオンラインに漏えいした可能性がある。
dispose of	/dɪˈspoʊz əv/	（廃棄物などを）処分する	They contracted a company to dispose of the disks.	2026-06-09	news:04-data-on-510-000-people-linked-to-hokkaido-hospitals-possibly-leaked-on | 彼らはディスクを処分するために業者に委託した。
unauthorized use	/ʌnˈɔːθəraɪzd juːs/	不正利用、無断使用	There have been no reports of unauthorized use of the data.	2026-06-09	news:04-data-on-510-000-people-linked-to-hokkaido-hospitals-possibly-leaked-on | データの不正利用の報告はない。
secondary damage	/ˈsekəndri ˈdæmɪdʒ/	二次的な被害、派生被害	No secondary damage has been reported.	2026-06-09	news:04-data-on-510-000-people-linked-to-hokkaido-hospitals-possibly-leaked-on | 二次的な被害の報告はない。
file a criminal complaint	/faɪl ə ˈkrɪmɪnl kəmˈpleɪnt/	刑事告訴を提出する	The organization filed a criminal complaint with police.	2026-06-09	news:04-data-on-510-000-people-linked-to-hokkaido-hospitals-possibly-leaked-on | 機構は警察に刑事告訴を提出した。
affected people	/əˈfektɪd ˈpiːpl/	影響を受けた人々	The number of affected people is estimated at up to 510,000.	2026-06-09	news:04-data-on-510-000-people-linked-to-hokkaido-hospitals-possibly-leaked-on | 影響を受けた可能性のある人数は最大51万人と見積もられている。
at auction	/æt ˈɔːkʃn/	オークションで（競売で）	Two individuals had purchased the disks at auction.	2026-06-09	news:04-data-on-510-000-people-linked-to-hokkaido-hospitals-possibly-leaked-on | 2人がオークションでディスクを購入していた。
medical conditions	/ˈmedɪkl kənˈdɪʃnz/	病状、健康状態	The disks contained patients' medical conditions.	2026-06-09	news:04-data-on-510-000-people-linked-to-hokkaido-hospitals-possibly-leaked-on | ディスクには患者の病状が含まれていた。
on suspicion of	/ɒn səˈspɪʃən əv/	〜の疑いで（逮捕・捜査など）	Police arrested him on suspicion of child abandonment.	2026-06-09	news:05-child-comes-into-store-saying-she-s-hungry-after-being-left-alone-for- | 警察は彼を児童遺棄の疑いで逮捕した。
child abandonment	/tʃaɪld əˈbændənmənt/	児童遺棄	They were arrested on suspicion of child abandonment.	2026-06-09	news:05-child-comes-into-store-saying-she-s-hungry-after-being-left-alone-for- | 彼らは児童遺棄の疑いで逮捕された。
self-proclaimed	/ˌself prəˈkleɪmd/	自称の	a self-proclaimed tattoo artist	2026-06-09	news:05-child-comes-into-store-saying-she-s-hungry-after-being-left-alone-for- | 自称タトゥーアーティスト
show up	/ʃoʊ ʌp/	現れる、やって来る	The girl showed up at a convenience store.	2026-06-09	news:05-child-comes-into-store-saying-she-s-hungry-after-being-left-alone-for- | 少女はコンビニに現れた。
unharmed	/ʌnˈhɑːrmd/	けがのない、無事な	The girl was unharmed and in good health.	2026-06-09	news:05-child-comes-into-store-saying-she-s-hungry-after-being-left-alone-for- | 少女はけがもなく健康だった。
admit to	/ədˈmɪt tuː/	（罪や事実を）認める	They have admitted to leaving their daughter alone.	2026-06-09	news:05-child-comes-into-store-saying-she-s-hungry-after-being-left-alone-for- | 彼らは娘を一人で残したことを認めた。
establishment	/ɪˈstæblɪʃmənt/	（飲食などの）店、施設	They went out drinking at several establishments.	2026-06-09	news:05-child-comes-into-store-saying-she-s-hungry-after-being-left-alone-for- | 彼らは複数の店で飲み歩きをした。
preschool-aged	/ˈpriːskuːl eɪdʒd/	就学前の年齢の	her preschool-aged daughter	2026-06-09	news:05-child-comes-into-store-saying-she-s-hungry-after-being-left-alone-for- | 就学前の娘
